id,year,EG_V(t)
1,2000,0.342229672012708
2,2000,0.309489835165753
3,2000,0.171558513835361
4,2000,0.163474733881369
5,2000,0.248384275928063
6,2000,0.212264419473666
7,2000,0.219593000043234
8,2000,0.178091856167838
9,2000,0.299331859280324
10,2000,0.274492173849281
11,2000,0.23837872326922
12,2000,0.200106965649993
13,2000,0.286864482322375
14,2000,0.257204136282183
15,2000,0.171957322288754
16,2000,0.232195874331607
17,2000,0.216676064425286
18,2000,0.266314598030119
19,2000,0.346449019143148
20,2000,0.234339098927346
21,2000,1.03656884059328
22,2000,0.289217918474264
23,2000,0.286232482084399
24,2000,1.00936042681659
25,2000,0.213481163971136
26,2000,0.253572931064261
27,2000,0.201684879985311
28,2000,1.02735463210204
29,2000,0.392005303191179
30,2000,0.241549272265301
1,2001,0.362207079077482
2,2001,0.299485277546074
3,2001,0.173562670546845
4,2001,0.143264016688074
5,2001,0.242084301572198
6,2001,0.222932858559316
7,2001,0.193245233656724
8,2001,0.187259749832632
9,2001,0.392603637609011
10,2001,0.284946336992764
11,2001,0.234983977710682
12,2001,0.189464327060954
13,2001,0.293314996093862
14,2001,0.260570461544853
15,2001,0.171359924851519
16,2001,0.237274643526438
17,2001,0.222902250718968
18,2001,0.262020161324081
19,2001,0.33707586249232
20,2001,0.234047613965223
21,2001,1.08021428453221
22,2001,0.283983006493974
23,2001,0.274630872842531
24,2001,0.853239131398563
25,2001,0.212568335804833
26,2001,0.268450961077163
27,2001,0.205138242496885
28,2001,1.06117284408661
29,2001,0.359137997220086
30,2001,0.244510260222344
1,2002,0.389895685786603
2,2002,0.295705182163993
3,2002,0.177334410789517
4,2002,0.167607232832244
5,2002,0.252378662922857
6,2002,0.229630309834813
7,2002,0.246726207289984
8,2002,0.195405383292753
9,2002,0.499633068213361
10,2002,0.292704533119654
11,2002,0.223438436631135
12,2002,0.197715715490594
13,2002,0.28200197360323
14,2002,0.247560409580075
15,2002,0.158853167157886
16,2002,0.237995869068565
17,2002,0.216457673394193
18,2002,0.250645827702823
19,2002,0.372671492107969
20,2002,0.246584083954965
21,2002,0.738372647218724
22,2002,0.275292941561106
23,2002,0.287596190754517
24,2002,0.427906107943543
25,2002,0.211664565169945
26,2002,0.291351148449992
27,2002,0.199917093076089
28,2002,1.01402072314494
29,2002,0.35949632488813
30,2002,0.266342516622664
1,2003,0.407831588674694
2,2003,0.297665867796299
3,2003,0.179132777204822
4,2003,0.172671394335438
5,2003,0.223288072135378
6,2003,0.239426348691559
7,2003,0.256075635050618
8,2003,0.185452304131727
9,2003,0.617864840870615
10,2003,0.2742657547894
